0.0,51704.6,111068.5,95356.0,61506.1,61400.3,47459.7,71910.1,64599.0,108421.8,44954.1,72476.3,128862.0,117971.2,56696.4,69446.0,32533.6,121338.8,31318.5,34229.9
52344.7,0.0,71825.7,56113.2,22263.3,22157.6,6232.4,32667.4,25356.3,69179.0,24540.8,62704.4,89619.2,78728.4,26594.4,30203.3,32362.9,82096.1,25244.1,43204.0
111159.1,70564.7,0.0,41334.1,64047.3,53934.4,64541.3,54254.4,56245.2,49501.6,77504.3,115667.9,69941.8,42155.9,82004.9,83166.8,89630.4,62418.6,84058.5,102018.4
95437.0,54842.6,41334.1,0.0,48325.2,38212.3,48819.2,38532.3,40523.1,44092.4,61782.2,99945.8,64532.6,53641.7,66282.8,67444.7,73908.3,57009.4,68336.4,86296.3
61439.9,20845.5,63913.6,48201.1,0.0,14245.5,14822.1,24755.2,13158.9,61266.9,27785.1,65948.7,81707.1,70816.3,35689.7,33447.6,41458.1,74183.9,34339.3,52299.2
62260.6,21666.2,53790.0,38077.5,15148.8,0.0,15642.8,14631.7,7032.7,51143.3,28605.8,66769.4,71583.5,60692.7,41952.6,34268.3,49578.1,64060.4,35160.0,53119.9
47477.1,6229.3,65799.3,50086.8,16236.9,16131.1,0.0,26640.9,19329.8,63152.6,18514.3,56677.9,83592.8,72701.9,21726.9,24176.8,27495.3,76069.6,20376.5,38336.4
69907.7,29313.2,58193.7,42481.3,22795.9,12683.0,23289.8,0.0,14993.7,55547.0,36252.8,74416.4,75987.3,65096.4,46356.4,41915.3,53981.9,68464.1,42807.0,60766.9
64660.6,24066.1,56189.9,40477.5,13158.9,7032.7,18042.7,17031.6,0.0,53543.3,31005.8,69169.3,73983.5,63092.6,44352.6,36668.2,51978.1,66460.3,37560.0,55519.8
108420.1,67825.7,49485.6,44097.1,61308.4,51195.5,61802.3,51515.4,53506.2,0.0,74765.3,112928.9,22816.8,21340.3,79265.9,80427.8,86891.4,15293.6,81319.5,99279.4
44954.1,24445.0,77365.8,61653.3,27803.4,27697.7,18421.6,38207.4,30896.3,74719.1,0.0,42117.7,95159.3,84268.5,35452.8,9616.5,41221.2,87636.1,34233.5,24901.8
72457.5,64091.7,117012.5,101300.0,67450.1,67344.3,58068.3,77854.1,70543.0,114365.8,43451.9,0.0,134806.0,123915.2,75099.5,38174.0,80867.9,127282.8,73880.2,38227.6
128896.9,88302.5,69962.4,64573.9,81785.2,71672.3,82279.1,71992.2,73983.0,22784.8,95242.1,133405.7,0.0,31364.3,99742.7,100904.6,107368.2,7523.2,101796.3,119756.2
117948.2,77353.7,42148.8,53625.1,70836.4,60723.5,71330.3,61043.4,63034.2,21327.3,84293.4,122456.9,31383.2,0.0,88793.9,89955.8,96419.4,23860.1,90847.6,108807.4
49191.9,17618.0,76981.9,61269.4,27419.5,27313.7,13373.1,37823.5,30512.4,74335.2,28243.1,66406.6,94775.4,83884.5,0.0,33905.5,17518.4,87252.2,22091.3,40051.1
67166.7,30277.6,83198.4,67485.9,33636.1,33530.3,24254.3,44040.1,36729.0,80551.7,9637.8,36808.0,100991.9,90101.1,41285.4,0.0,47053.8,93468.8,40066.1,33287.2
32507.7,36674.7,96985.0,81272.6,46476.2,46370.4,32429.8,56448.1,49569.1,94338.3,47299.8,85463.3,114778.6,103887.7,20519.4,52962.2,0.0,107255.4,16768.1,26680.1
121373.8,80779.3,62439.2,57050.7,74262.0,64149.1,74756.0,64469.1,66459.8,15261.7,87719.0,125882.5,7523.2,23841.2,92219.5,93381.4,99845.0,0.0,94273.2,112233.1
31292.6,24578.1,83942.0,68229.5,34379.6,34273.8,20333.2,44783.6,37472.5,81295.3,36657.1,74820.6,101735.5,90844.7,29569.9,42319.5,16768.1,94212.3,0.0,22151.9
34229.9,42538.0,101901.9,86189.4,52339.5,52233.7,38293.1,62743.5,55432.4,99255.2,24901.8,38246.4,119695.4,108804.5,47529.8,28955.5,26680.1,112172.2,22151.9,0.0
